movie_id,movie_name,year,tags,overview,rating,director,cast
tt9537068,Durgeshgorer Guptodhon,2019,"Bengali, Adventure, Comedy, Drama, Family",The adventurous trip of Abir and Jhinuk takes them to the legendary Durgeshgor.,6.7,Dhrubo Banerjee,"Abir Chatterjee, Arjun Chakrabarty, Ishaa Saha, Aryann Bhowmick, Lily Chakravarty"
tt9176136,High End Yaariyaan,2019,"Punjabi, Comedy, Drama, Family, Musical, Romance","Three Punjabi friends navigate life's ups and downs while building their dreams in a foreign land, testing the bonds of their friendship as they face challenges far from home.",5.8,Pankaj Batra,"Jassie Gill, Ranjit Bawa, Ninja, Sammy Jonas Heaney, Gurnam Bhullar"
tt8897986,Family of Thakurganj,2019,"Hindi, Action",The film is based on small town of North India. Film's story is about confrontation of love and thoughts. Along with entertainment.,5.3,Manoj K. Jha,"Jimmy Shergill, Mahie Gill, Nandish Singh Sandhu, Pranati Rai Prakash, Saurabh Shukla"
tt12492650,Ek,2019,"Telugu, Action, Drama","EK is a love story set in the context of ever growing threat of suicide bombings in the country and across the world. It's a stylishly shot emotional action thriller with realistic treatment that is sure to strike a chord with the masses. It reveals how victims and others deeply attached to them will feel when loved ones become prey for the monstrous acts. Its characters represent different dimensions that dominate one's behavior and shows all our societal problems are emerging out of sick minds, Having had his share of troubles, hero feels that the treatment is necessary for such minds. This is the driving idea for the protagonist who takes on people behind such inhuman acts..What happens after that, is something you should wait and watch with your friend and family.",6.2,Sampath Rudra,"Bishnu Adhikari, Himanshi Khurana, Aparna Sharma, Prudhviraj, Banerjee"
tt10084190,Chandigarh Amritsar Chandigarh,2019,"Punjabi, Comedy, Drama, Romance","While on her way from Chandigarh to Amritsar to sabotage her own wedding, a woman encounters a stranger who spends the day with her despite their obvious differences.",6.2,Karaan Guliani,"Dilpreet Dhillon, Gippy Grewal, Ankit Kumar, Harpreet Kumar, Sargun Mehta"
tt10869474,Safe,2019,"Malayalam, Action, Crime, Thriller","Shreya opens a Pandora's box of sexual abuse cases that point to a high profile celebrity. Amidst rising crime and violence, Arundhati, a Social Activist starts a public movement called SAFE to protect women, children and the aged.",5.9,Pradeep Kalipurayath,"Anusree, Aparna Gopinath, Siju Wilson, Aji John, Hareesh Peradi"
tt8042116,House Owner,2019,"Tamil, Drama","An elderly couple, a house wife and a retired army man, go through some unanticipated moments during a rainy season in Chennai.",7.0,Lakshmy Ramakrishnan,"Kishore Kumar G., Sriranjani, Kishore Shanthi Dhinakaran, Lovelyn Chandrasekhar, Subbalakshmi"
tt9179426,Satellite Shankar,2019,"Hindi, Action, Drama",The extraordinary journey of a soldier that brought a nation together. It stars Sooraj Pancholi and Megha Akash in the lead roles and is directed by Irfan Kamal.,6.3,Irfan Kamal,"Sooraj Pancholi, Anil Reji, Saurabh Agnihotri, Megha Akash, Babita Anant"
tt9766160,Damayanthi,2019,"Kannada, Drama, Horror",After several years Damayanthi returns to exact her revenge on the people who brutally murdered her entire family for getting the inheritance.,6.1,Navarasan,"Radhika Kumaraswamy, Anusha Rai, Adya, Amarnath, Anjana"
tt10816510,P Se Pyaar F Se Faraar,2019,"Hindi, True Crime, Crime, Drama, Romance","High-school sweethearts Suraj Maali and Janvi Singh are well aware of their diverse socio-economic backgrounds and so, the young lovers opt for marriage by elopement. This, in turn, conjures up a storm the couple isn't prepared for.",5.2,Manoj Shidheshwari Tiwari,"Bhavesh Kumar, Jimmy Shergill, Kumud Mishra, Sanjay Mishra, Girish Kulkarni"
